,label,content
301,EnterSports,每年春晚的语言类节目都是大家关注的重点，距离猪年春晚还有不到一个月的时间，节目也已经进入了终审环节。近日，据知情人爆料，葛优参加了央视春晚的语言类节目终审，将搭档蔡明，潘长江，乔杉，翟天临出演。据悉，葛优的春晚小品故事内容大概是老头与骗子之间发生的乌龙事件，如果此次节目可以过审，那么这将是葛优首次登上央视春晚的舞台。葛优通过出演《编辑部的故事》被大家熟知，距今已有三十多年，在《活着》、《大腕》、《让子弹飞》等着名电影中，塑造了无数经典角色，并多次获得影帝的称号。能在春晚的舞台上看到葛优，一直是众多观众内心无比期盼的事情。但如此知名的电影大咖，却从未出演春晚，个中缘由令无数网友感到疑惑。其实，早在几年前接受采访时，葛优就曾透露过自己拒绝登台春晚的原因，他说自己记忆力不好，演戏都是随性而发，怕背不好台词。他还称，小品不是自己的特长，又不擅长唱歌，宁愿不去也不愿意给观众一个不好的效果。在这种地位还如此谦虚，更加赢得了观众的好感。而这次经媒体曝出葛优将加盟春晚的消息，网友间立刻炸开了锅，大家纷纷表示“今年必须死守在电视机前看葛大爷上春晚”，“哪怕葛优就只是躺在台上我都想笑！”每年春晚，蔡明和潘长江出演的小品都是压轴节目，这次搭档葛优，又会碰撞出怎样的火花呢？演小品的葛大爷，你期待吗？
302,EnterSports,北京时间1月4日，勇士在客场以125-122击败了独行侠（原小牛）。勇士（30-8）二连胜，保持西部第一的位置，成为第二支取得30胜的球队。斯蒂芬-库里在比赛还有3.4秒时投中制胜三分，全场贡献32分、8次助攻和5个篮板，克雷-汤普森25分，凯文-杜兰特25分、11个篮板和6次助攻，德雷蒙德-格林18分、10个篮板和6次助攻。勇士成为第一支击败独行侠的球队。独行侠开场顺利，巴恩斯面对老东家命中三分，克勒伯空中接力扣篮得手，5-2开局。首节过半时，独行侠还有14-13领先，但库里和杜兰特相继投篮还以颜色，勇士打出6-0后反超。本节还有3秒时，库里三分命中，勇士以35-26结束本节。库里复出首战就投中10记三分，今天手感也不错，首节有3个三分进账，已经得了15分。第二节两队继续对攻，这是勇士喜欢的节奏。本节还有3分33秒时，库里突破上篮得手，勇士以57-54领先。这是库里本节首次出手投篮。汤普森此后命中三分，勇士保持作诗。库里在本节还有40.5秒时也三分命中，勇士略为拉开差距。史密斯还以一记三分，独行侠上半场以61-67落后。中场休息时，诺维茨基亲自揭开写有“达拉斯独行侠”的牌子，意味着从这一刻开始，“小牛队”在中国消失，取而代之的是“独行侠”。独行侠不断反击。第三节还有3分44秒时，马修斯和哈里斯相继投中三分后，小牛以84-83超出。从前机会扩大优势，但此后连续两次投篮不中。杜兰特还以在分，库里罚中一球，勇士保持领先。麦考投中本节的压哨球，勇士以91-89进入最后一节。库里下半场手感下降，第三节投中一记三分，第四节两投不中。勇士一度取得两位数的优势，但独行侠在改名之夜不甘心就此失利，不断用三分反击。比赛还有1分31秒时，马修斯命中三分，巴恩斯此一中投得手，独行侠将比分追成了120-120。在3分钟内，独行侠追回了11分的差距，看到了翻盘的希望。汤普森投中关键一球，勇士再度超出。巴恩斯强打篮下，轻身上篮得手，独行侠再度将比分扳平。勇士还有11秒不，这已经足够，库里在比赛还有3秒时快速出手，三分应声命中，勇士以125-122再度超出。独行侠已经没有暂停，最后一投仓促出手，未能命中。（吴哥）
303,EnterSports,“我计划明年继续回来。”德克在发布会上说道。如果德克下赛季继续打球，那将是他在独行侠队的第21个赛季，这将是一项NBA历史纪录。本赛季，德克的健康状况很不错，他打了77场比赛，场均得到12分、5.7个篮板和1.6次助攻，投篮命中率和三分命中率分别达到45.6%和40.9%。但是就在上周，德克接受了左脚踝手术，并且赛季报销。今天的新闻发布会上，德克也谈到了他的脚踝伤势。“我希望在未来几周内脱掉保护靴，然后开始缓慢的康复。这将是一个漫长的过程。”德克说道，“我希望下赛季我的脚踝能好转许多。”“希望我在下赛季可以打出一些不错的篮球。不然的话，那就是时候退役了。”他继续说道。德克今天还表示他不介意下赛季在独行侠队打替补，如果这对球队有利的话。今年6月，德克就将年满40岁。（罗森）
304,EnterSports,新浪娱乐讯8月18日晚，火箭少女101新歌发布会上，Sunnee表演《撞》后晕倒，刚刚官博作出回应称“sunnee已被工作人员立即送往医院，目前正在接受专业医护人员的治疗”，表示sunnee为了能够出席首张EP的发布会，依然用自己的专业精神坚持工作，和大家一起完成这第一次的舞台表演。网友纷纷留言称“希望小姐姐快点好起来”“要好好照顾自己呀”。
305,EnterSports,艺人黄子韬近期可谓是行程满档。出席品牌代言活动，新剧《租界少年热血档案》开拍，日前又闪现到《潮音战纪》总决赛现场，作为助力嘉宾献声潮音。当日，黄子韬身着一套蓝紫色运动套装搭配白色运动鞋，独特元素的拼接刺绣设计，神秘色彩浓厚;外套则特点突出，豹纹大衣霸气十足，背后的豹头图案凸显黄子韬的硬汉风格。金属感强烈的配饰相得益彰，简约大气又不失重量感，成为整体穿搭造型的点睛之笔。现场黄子韬的表现更是气场全开，一首充满自信态度的《HATER》燃炸全场。作为助力嘉宾的黄子韬在冠军争夺战压轴霸气出场，将本就热情满满的现场气氛锨至最高潮。黄子韬也在直播现场公布自己的全新单曲《STAYOPEN》将在当晚零点上线的好消息。据悉这首由黄子韬亲自作词并参与编曲和演唱的单曲，由美国顶级制作人Diplo创作，首次尝试开放式创作理念，CloudTrap中融入东方乐器，中西结合的全新风格令人充满期待。
306,EnterSports,八强战第8轮，北汽女排主场23-25、25-14、25-27、25-21、15-9击败山东，惊险取得了一场胜利。此役，女排奥运冠军刘晓彤又有伤病情况，让人非常揪心。上轮比赛，丁霞突然受伤已经让不少中国女排球迷心疼不已，作为奥运冠军，好在丁霞没有出现太严重的伤病，据悉1-2周后可以复出。事实上本赛季在巴西球星坦达拉重伤后，女排联赛是谈受伤色变，而伤病却总是找到了大牌球星。别忘了去年的国内比赛全运会，徐云丽因伤导致提前退役，结果中国女排在世锦赛出现了尴尬的用人荒。此役刘晓彤又出现了伤病，在与山东女排的比赛中，刘晓彤决胜局末段在救球时不慎与队友相撞，导致手肘受伤，一度倒地不起。好在接受一番简单处理后，刘晓彤还是坚持上阵，撑到了最后一刻。在比赛结束后接受了简单的包扎处理，队友全都围过去查看刘晓彤的伤势，对她非常关心。看得出来刘晓彤目前也是伤病缠身，这位奥运冠军是中国女排的福将，之前的世锦赛虽然没有主打，但依然是郎平最为信赖的球员之一。因此在连续伤病后，球迷感慨排超“有毒”，希望刘晓彤的伤病不要影响到她，事实上目前北汽女排还真无法缺少刘晓彤，刘晓彤如果伤病无碍，或许还会继续打下去。毕竟北汽女排本赛季对于好成绩已势在必得，砸钱带来了3位外援后，如果不能出成绩，球迷接受不了，北汽女排自己或许也无法接受。此役过后，北汽女排基本确保了在积分榜上的主动。她们击败了山东女排后，积分榜形势呈现出两大黑马开始变得无力的情况，山东与恒大女排此役再度告负后，已经被前四稍稍拉开了差距。目前积分榜前四分别是天津21分，上海16分，北汽14分，江苏13分。辽宁排名第五，积12分机会不小，山东10分、恒大9分有掉队趋势，福建依然是1分垫底。
307,EnterSports,吐槽不停，欢乐不止，新浪NBA神吐槽栏目继续登场！假如我是陈独Show:比德五年，词穷。。。（所有言论均来自网友智慧，不代表新浪NBA观点）
308,EnterSports,该报道称，当地时间9日晚，中国裁判员马宁亮相本届亚洲杯，他执法卡塔尔队与黎巴嫩队的比赛。最终，卡塔尔队2:0获得胜利。然而，黎巴嫩队主教练赛后牢骚满腹，认为主裁判马宁执法有商榷之处。中国主裁判执法亚洲杯还要追溯到2007年，时隔两届之后，中国主裁判再次站在亚洲杯赛场上。就马宁的整体表现来说，跑动及时，观察角度选择合理，判罚尺度统一。黎巴嫩队上半场曾打进一球，但马宁判定进攻队员犯规在先，令拉杜洛维奇非常恼火。赛后，有知情人士披露，黎巴嫩队进攻队员在进球前有一个推人动作，马宁当时所处位置很好，在该队员进球前马宁已鸣哨，只不过犯规和进球是一刹那间发生的，进攻队员没有听到或者听到了也要把射门动作做完，“这个判罚非常准确。”据闻，马宁判攻方队员犯规后，曾与助理裁判员有过确认，助理裁判也认为主裁判判罚是正确的。中国裁判员的业务水平和临场驾驭比赛的能力在亚洲是一流的，只是由于种种原因，亚足联在很长时间里不愿意使用中国裁判员。(编辑：周总懂球)
309,EnterSports,虎扑1月14日讯在红魔1-0击败热刺后，前曼联中场达伦-弗莱彻称赞了球队代理主帅索尔斯克亚，他认为索帅出色的战术思路指引着球队获胜。“上半场是一堂战术大师课，比赛前期阶段他们的计划是跑进肋部空当，压制热刺，曼联每得到一个机会拿到球，他们就寻求利用空间。”“曼联在上半场很早就开始了攻势的策略，他们这样做是因为热刺的边卫喜欢站位很高、很靠边路。所以曼联的计划就是让马夏尔和拉什福德也留在靠边路的位置，冲击托比和维尔通亨身旁的肋部通道，一直在那样做。”“没有后卫想跟马夏尔、拉什福德、林加德二对二，因为他们有速度，有能力，也很有威胁。关键的一部分还有林加德，他总是围绕着中间的中场队员去抢回球权，给他们压力，阅读传球，那引领了第一个进球的产生。你可以看看曼联教练席在进球后的反应，那是他们比赛计划完美奏效的成果。”(编辑：姚凡)
310,EnterSports,昨日，青年歌手、演员黄子韬应教育部中国教育发展基金会邀请，出席在北京举办的“青少年防走失防欺凌全民公益行动计划”启动仪式暨“关爱未来”学生安防与管理系统援建项目第二批次试点城市签约仪式。活动仪式上，黄子韬以“公益特使候选人”身份发表演讲，呼吁全社会关注青少年儿童安全问题。近年来，国内青少年儿童走失及校园欺凌问题日益严峻，青少年校园安防问题引起国家和各地政府的高度重视。中国教育发展基金会设立的“关爱未来”学生安防与管理系统，是国家级学生安防管理平台系统。据悉，黄子韬作为本次活动的“公益特使候选人”，也是唯一一位受邀的明星代表，与教育部中国教育发展基金会主要领导、第二批次试点援建城市地方政府代表等共同出席该活动，并发表演讲。黄子韬在演讲中表示，“近年来，国内青少年儿童走失及校园欺凌事件屡屡发生，众多的惨痛教训不得不让我们重新审视青少年儿童安全问题。孩子走失的那一刻，就是家庭破碎的开始，孩子受到伤害的那一刻，也是每个家庭最悲痛的时刻，孩子是祖国的未来，他们的安全比什么都要重要”，他也呼吁和号召更多的民众参与到对青少年“防走失、防欺凌”问题的社会共治行动中来。据了解，黄子韬近年来一直关注公益活动，曾担任第六届白丝带女性权益活动大使，为遭受不平等待遇的女性发声；也曾参与“99公益日”关爱自闭症儿童、央视节目《开学第一课》“我向老兵敬个礼”等公益活动，而此次委任黄子韬为“公益特使候选人”，也是对黄子韬正能量影响力和社会号召力的认可。相关活动内容在央视一套《晚间新闻》播出后，粉丝也纷纷表示以黄子韬为榜样，进一步意识到青少年儿童安全问题的严峻性，让更多的人关注青少年“防走失、防欺凌”问题。
